Names,Male,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Cameron Williams,0,42,11066.8,0,7.22,8,2013-08-30 7:00,"10265 Elizabeth Mission Barkerburgh, AK 89518",Harvey LLC,1
Kevin Mueller,0,41,11916.22,0,6.5,11,2013-08-13 0:38,"6157 Frank Gardens Suite 019 Carloshaven, RI 17756",Wilson PLC,1
Eric Lozano,1,38,12884.75,0,6.67,12,2016-06-29 6:20,"1331 Keith Court Alyssahaven, DE 90114","Miller, Johnson and Wallace",1
Phillip White,0,42,8010.76,0,6.71,10,2014-04-22 12:43,"13120 Daniel Mount Angelabury, WY 30645-4695",Smith Inc,1
Cynthia Norton,0,37,9191.58,0,5.56,9,2016-01-19 15:31,"765 Tricia Row Karenshire, MH 71730",Love-Jones,1
Jessica Williams,0,48,10356.02,0,5.12,8,2009-03-03 23:13,"6187 Olson Mountains East Vincentborough, PR 74359",Kelly-Warren,1
Eric Butler,1,44,11331.58,1,5.23,11,2016-12-05 3:35,"4846 Savannah Road West Justin, IA 87713-3460",Reynolds-Sheppard,1
Zachary Walsh,1,32,9885.12,1,6.92,9,2006-03-09 14:50,"25271 Roy Expressway Suite 147 Brownport, FM 59852-6150",Singh-Cole,1
Ashlee Carr,0,43,14062.6,1,5.46,11,2011-09-29 5:47,"3725 Caroline Stravenue South Christineview, MA 82059",Lopez PLC,1
Jennifer Lynch,0,40,8066.94,1,7.11,11,2006-03-28 15:42,"363 Sandra Lodge Suite 144 South Ann, WI 51655-7561",Reed-Martinez,1
Paula Harris,1,30,11575.37,1,5.22,8,2016-11-13 13:13,Unit 8120 Box 9160 DPO AA 43432,"Briggs, Lamb and Mathews",1
Bruce Phillips,1,45,8771.02,1,6.64,11,2015-05-28 12:14,Unit 1895 Box 0949 DPO AA 40249,Figueroa-Maynard,1
Craig Garner,0,45,8988.67,1,4.84,11,2011-02-16 8:10,"897 Kelley Overpass Suite 349 West Rebekahport, AZ 44793",Abbott-Thompson,1
Nicole Olson,1,40,8283.32,1,5.1,13,2012-11-22 5:35,"11488 Weaver Cape Hernandezberg, WI 63417-8544","Smith, Kim and Marshall",1
Harold Griffin,0,41,6569.87,1,4.3,11,2015-03-28 2:13,"1774 Peter Row Apt. 712 New Autumn, MT 18782","Snyder, Lee and Morris",1
James Wright,1,38,10494.82,1,6.81,12,2015-07-22 8:38,"45408 David Path East Kimberlyshire, HI 54903-6698",Sanders-Pierce,1
Doris Wilkins,1,45,8213.41,1,7.35,11,2006-09-03 6:13,"28216 Wright Mount Apt. 356 Alichester, DE 40999-2369","Andrews, Adams and Davis",1
Katherine Carpenter,1,43,11226.88,0,8.08,12,2006-10-22 4:42,Unit 4948 Box 4814 DPO AP 42669,"Morgan, Phillips and Harrell",1
Lindsay Martin,0,53,5515.09,0,6.85,8,2015-10-07 0:27,"69203 Crosby Divide Apt. 878 Parkerview, CO 87064",Villanueva LLC,1
Kathy Curry,1,46,8046.4,1,5.69,8,2014-11-06 23:47,"9569 Caldwell Crescent Tanyaborough, RI 30637","Berry, Orr and Cabrera",1
Dean Miller,0,41,9771.22,0,5.81,11,2013-05-30 0:42,"803 Kelli Crossing Apt. 169 Jimenezberg, WV 56530-4240",Parks-Bradley,1
Kevin Ramos,0,56,12217.95,1,5.79,11,2016-11-17 14:37,"5775 Jared Stream Apt. 881 Port Jenniferfort, CO 63506-4063",Olsen LLC,1
Jennifer Wood,0,35,9381.12,1,6.78,11,2006-03-27 20:52,"1493 Phillips Haven Lake William, FM 00995-2870","Clark, Campbell and Armstrong",1
Paul Walker,1,41,10474.94,0,6.4,12,2012-01-02 5:08,"73006 Patty Avenue Apt. 646 New Sarahburgh, NV 24826",Dalton LLC,1
Lindsey Day,0,55,11158.5,1,4.86,10,2007-01-07 1:21,"85934 Dakota Mall Timothyville, MI 72421","Thompson, Hansen and Sanchez",1
Steven Hernandez,1,54,8207.1,0,4.26,11,2015-04-05 15:57,"14609 Perez Turnpike Bradleyberg, DE 99755","Yates, Martinez and Cox",1
Danielle Kirk,0,35,12403.81,0,4.42,11,2007-07-31 6:39,"20117 Johnson Ports Apt. 914 Jenniferfort, DC 40595",Reeves-Curtis,1
Troy Oliver,1,40,10041.13,0,7.61,11,2006-07-30 15:27,USCGC Blake FPO AA 66377-6894,Gates Ltd,1
Darlene Evans,1,44,12721.55,0,5.18,11,2011-04-25 2:53,"950 Christina Viaduct Anastad, IL 03324-2274",Dunlap and Sons,1
Mrs. Sarah Morales,1,37,8284.89,1,5.6,10,2009-03-25 6:10,"8807 Young Village Joneston, AR 56462","Taylor, Allen and Gardner",1
Laura Pierce,1,54,10661.48,1,5.16,8,2011-12-26 22:06,"PSC 3912, Box 7208 APO AA 23623",Charles-Branch,1
Carla Ball,1,45,10793.11,1,4.65,10,2016-12-28 4:07,"754 Shannon Mall South Shawn, AS 29886-0448",Barton Inc,1
Robert Hill,1,46,9322.44,1,2.69,11,2010-11-16 13:22,"2088 Kelli Way Millertown, MT 37058","Stevens, Harris and Greene",1
